brand;name;category;slug;description;catalog_page;variant_count;needs_review;review_note
Montoc;Paleta de Sombras Harmony;Maquillaje;montoc-paleta-de-sombras-harmony;Paleta compacta con seis tonos esenciales en acabados mate y satinados.;27;3;SI;El PDF lista 3 nombres pero describe 6 tonos. Confirmar si son 3 paletas o 6 tonos de una.
Girly;Polvo Suelto;Maquillaje;girly-polvo-suelto;Fija el maquillaje con textura de terciopelo y acabado semi mate. No genera flashback.;29;3;;
Girly;Tónico Facial con Aloe Vera;Cuidado Facial;girly-tonico-facial-con-aloe-vera;Con bakuchiol, péptidos y ácido mandélico. Mejora la textura de la piel y aporta luminosidad.;29;1;;
Girly;Lip Balm;Maquillaje;girly-lip-balm;Tratamiento hidratante y reparador para labios. Con péptidos, aceite de coco y vitamina E.;30;1;;
Girly;Lip Liner;Maquillaje;girly-lip-liner;Colores intensos, fórmula cremosa de larga duración, resistente al agua. Con vitaminas E y C.;30;1;SI;El PDF dice '10 tonos' pero NO los nombra. Faltan los 10 nombres de tono.
Girly;Agua Micelar;Cuidado Facial;girly-agua-micelar;Desmaquillante facial a base de micelas altamente limpiadoras. Fórmula antioxidante e hidratante.;31;1;;
Girly;Bruma Facial;Cuidado Facial;girly-bruma-facial;Hidratación y luminosidad con alantoína, extracto de sandía y ácido hialurónico.;31;1;;
Girly;Gel Hidratante con Áloe Vera;Cuidado Facial;girly-gel-hidratante-con-aloe-vera;Fórmula ligera y de rápida absorción para una hidratación intensa.;32;1;;
Girly;Mantequilla Corporal;Cuidado Corporal;girly-mantequilla-corporal;Con manteca de karité, vitamina E y aceite de coco. Combate la resequedad y deja glow.;32;1;;
Prosa;Pestañina;Maquillaje;prosa-pestanina;Cepillo de silicón de alta definición: separa, alarga y da cuerpo a cada pestaña sin grumos.;34;5;;
Prosa;Crystal Proteína Gel;Cuidado Facial;prosa-crystal-proteina-gel;Tratamiento intensivo en gel con proteínas cristalinas. Fortalece, alarga y da volumen a las pestañas.;34;1;SI;SIN PRECIO en el PDF. Verificar.
Milagros;Shampoo Herbal;Cuidado Capilar;milagros-shampoo-herbal;Fortalece el cabello, controla la grasa, reduce la caída y promueve el crecimiento. Con romero y jengibre.;36;1;;
Milagros;Acondicionador Herbal;Cuidado Capilar;milagros-acondicionador-herbal;Acondiciona y desenreda. Fortalece y restaura con extracto de romero y arroz.;36;1;SI;SIN PRECIO visible en el PDF. Verificar.
Milagros;Shampoo Emergencia Capilar;Cuidado Capilar;milagros-shampoo-emergencia-capilar;Con biotina y queratina. Fortalece desde la raíz y repara la fibra capilar.;37;1;;
Milagros;Tratamiento Emergencia Capilar;Cuidado Capilar;milagros-tratamiento-emergencia-capilar;Revitaliza el cabello en 20 minutos. Repara cabellos dañados y reduce la caída.;37;1;;
Milagros;Shampoo Crecimiento;Cuidado Capilar;milagros-shampoo-crecimiento;Para cabellos estancados o debilitados. Estimula el crecimiento y fortalece desde la raíz.;38;1;;
Milagros;Acondicionador Fortalecedor;Cuidado Capilar;milagros-acondicionador-fortalecedor;Con extracto de cebolla y péptidos. Restaura, fortalece y devuelve el brillo natural.;38;1;;
Milagros;Shampoo Ultranutritivo;Cuidado Capilar;milagros-shampoo-ultranutritivo;Shampoo vegano con cristales de áloe vera y extracto de romero. Disminuye el frizz.;39;1;;
Milagros;Acondicionador Ultranutritivo;Cuidado Capilar;milagros-acondicionador-ultranutritivo;Coctel de aminoácidos y extractos naturales que fortalecen y mejoran la textura del cabello.;39;1;;
Milagros;Bio-Repolarizador;Cuidado Capilar;milagros-bio-repolarizador;Tratamiento capilar con protección UV que no interfiere con tintes ni alisados.;40;1;;
Milagros;Terapia Nutrición y Crecimiento;Cuidado Capilar;milagros-terapia-nutricion-y-crecimiento;Crema de peinar que define rizos y fortalece la fibra capilar. Ideal para método curly.;40;1;;
Milagros;Perfume Capilar;Cuidado Capilar;milagros-perfume-capilar;Ideal para cabellos opacos y sin movimiento. Realza el color natural del cabello.;41;8;SI;PRECIO POR TAMAÑO: 30ml $8.000 / 120ml $27.000. El modelo actual solo soporta un precio por producto.
Click Hair;Shampoo Miel;Cuidado Capilar;click-hair-shampoo-miel;Espuma lujosa que limpia sin resecar. Alta concentración de vitaminas, devuelve luminosidad y vitalidad.;43;1;;
Click Hair;Acondicionador Miel Brillo;Cuidado Capilar;click-hair-acondicionador-miel-brillo;Con miel de abejas, aceite de coco y pantenol. Hidratación intensa y brillo natural.;43;1;SI;SIN PRECIO visible en el PDF. Verificar.
Click Hair;Shampoo de Ají Cabello Graso;Cuidado Capilar;click-hair-shampoo-de-aji-cabello-graso;Con ají, borojó, arroz, limón y células madre. Mejora el crecimiento y detiene la caída.;44;1;;
Click Hair;Acondicionador Ají 4 en 1;Cuidado Capilar;click-hair-acondicionador-aji-4-en-1;Textura cremosa que facilita el desenredo y reduce el frizz sin sensación pesada.;44;1;;
Click Hair;Set de Mini Perfume Capilar;Cuidado Capilar;click-hair-set-de-mini-perfume-capilar;7 aromas de 40 ml cada uno. Cabello perfumado por más de 24 horas.;45;1;;
Click Hair;Perfume Capilar;Cuidado Capilar;click-hair-perfume-capilar;Cabello perfumado por más de 24 horas. Presentación de 120 ml.;45;7;;
Click Hair;Perfume Capilar Miel;Cuidado Capilar;click-hair-perfume-capilar-miel;Toque ligero y adictivo que perfuma, realza el brillo y deja una estela dulce y elegante.;46;3;;
Click Hair;Miel Capilar;Cuidado Capilar;click-hair-miel-capilar;Elixir concentrado de miel 100% natural, aceite de macadamia y argán. Realza el brillo y evita el quiebre.;47;2;SI;PRECIO POR TAMAÑO: 20ml $25.000 / 50ml $55.000. El modelo actual solo soporta un precio por producto.
Click Hair;Termoprotector Leche y Miel;Cuidado Capilar;click-hair-termoprotector-leche-y-miel;Fórmula bifásica con leche y miel. Protege del calor de secador, plancha y pinza mientras desenreda.;47;1;SI;SIN PRECIO visible en el PDF. Verificar.
Click Hair;Mascarilla Miel Brillo Intenso;Cuidado Capilar;click-hair-mascarilla-miel-brillo-intenso;Shot de miel de abejas que repone aminoácidos y proteínas, sella cutículas y repara la fibra.;48;1;;
Click Hair;Suero Reconstructor;Cuidado Capilar;click-hair-suero-reconstructor;Serum termoprotector que blinda y protege la fibra capilar contra agentes externos.;48;1;SI;SIN PRECIO visible en el PDF. Verificar.
Antojitos;Cepillo Curly Hair;Accesorios;antojitos-cepillo-curly-hair;Cepillo perfecto para definir tus rizos fácilmente.;50;1;;
Antojitos;Cepillo Tangle;Accesorios;antojitos-cepillo-tangle;Cepillo desenredante en colores surtidos.;50;1;;
Antojitos;Caimán Flor;Accesorios;antojitos-caiman-flor;Pinza tipo caimán con diseño de flor. Color surtido.;50;1;;
Antojitos;Pinza Estrella de Mar;Accesorios;antojitos-pinza-estrella-de-mar;Pinza decorativa en colores surtidos.;50;1;;
Antojitos;Llavero Espejo;Accesorios;antojitos-llavero-espejo;Espejo doble, uno con aumento.;51;1;;
Antojitos;Diadema Skin Care;Accesorios;antojitos-diadema-skin-care;Diadema para rutina de cuidado facial.;51;1;;
Antojitos;Balaca Skin Care;Accesorios;antojitos-balaca-skin-care;Balaca para rutina facial. Color y diseño surtido.;51;1;;
Antojitos;Papel Absorbente Antigrasa;Accesorios;antojitos-papel-absorbente-antigrasa;Papel matificante para controlar el brillo.;51;1;;
Antojitos;Toallas Húmedas Desmaquillantes;Accesorios;antojitos-toallas-humedas-desmaquillantes;Pañitos desmaquillantes Day Colors x 30 unidades.;52;1;;
Antojitos;Agua Micelar Todo en 1 By Garnier;Cuidado Facial;antojitos-agua-micelar-todo-en-1-by-garnier;Agua micelar Garnier todo en 1.;52;1;;
Antojitos;Pomos de Algodón;Accesorios;antojitos-pomos-de-algodon;Pomos desmaquillantes x 120 unidades.;52;1;;
Antojitos;Parches para Acné;Cuidado Facial;antojitos-parches-para-acne;Parches hidrocoloides para el tratamiento de granitos.;52;1;;
Antojitos;Parches Anti Acné Estrellas;Cuidado Facial;antojitos-parches-anti-acne-estrellas;Parches anti acné con diseño de estrellas.;53;1;;
Antojitos;Parches Anti Acné Cute;Cuidado Facial;antojitos-parches-anti-acne-cute;Parches anti acné con diseño cute surtido.;53;1;;
Antojitos;Kit de Brochas x10 Cola de Sirena;Accesorios;antojitos-kit-de-brochas-x10-cola-de-sirena;Set de 10 brochas de maquillaje diseño cola de sirena.;53;1;;
Antojitos;Set Pomo AIFEI Puff x6;Accesorios;antojitos-set-pomo-aifei-puff-x6;Set de 6 pomos aplicadores.;53;1;;
Antojitos;Set de Blender y Borlas;Accesorios;antojitos-set-de-blender-y-borlas;Set combinado de esponja blender y borlas.;54;1;;
Antojitos;Set 4 Blenders;Accesorios;antojitos-set-4-blenders;Set de 4 esponjas blender, diseño surtido.;54;1;;
Antojitos;Set de 8 Borlas;Accesorios;antojitos-set-de-8-borlas;Set de 8 borlas para sellar el maquillaje.;54;1;;
Antojitos;Espejo LED;Accesorios;antojitos-espejo-led;Espejo con luz LED, diseño cuadrado o redondo.;54;2;;
Antojitos;Kit Cartuchera Purpure;Accesorios;antojitos-kit-cartuchera-purpure;Kit corporal con gel de ducha, mantequilla corporal y splash mini dentro de una cartuchera.;55;5;;
Antojitos;Lip Serum Chocolate Kiss;Maquillaje;antojitos-lip-serum-chocolate-kiss;Lip serum que combina nutrición, brillo y un aroma irresistible a chocolate.;56;1;;
Antojitos;Rizador de Pestañas;Accesorios;antojitos-rizador-de-pestanas;Rizador manual de pestañas.;56;1;;
Antojitos;Cosmetiqueras;Accesorios;antojitos-cosmetiqueras;Cosmetiqueras en diseños y colores surtidos.;56;1;;
Antojitos;Estuches x3;Accesorios;antojitos-estuches-x3;Set de 3 estuches organizadores.;56;1;;
